itemId,serviceId,parkName,parkCode,operatorId,operateType,operateTime,operateName,operateMoney,refundssMoney,refundysMoney,delayStartTime,delayEndTime,oldState,newState,attach
1523ed02263d4ccda8dd135038b59f24,4f18e029abbd4d649ce604ef64c2bb6f,合肥天源迪科科技园,p200893088,null,OPEN,2021-12-07 15:10:42,null,80.0,null,null,2021-12-07 00:00:00,2021-12-31 23:59:59,null,null,null,2021-12-07 16:37:04
24185fb4cd8b49b1936dcefc1a67b237,e5bdca9c9883461a827e24c86c759035,合肥天源迪科科技园,p200893088,null,RECHARGE,2021-11-19 16:57:23,null,120.0,null,null,2021-11-21 00:00:00,2021-12-31 23:59:59,null,null,null,2021-12-07 16:41:04
24185fb4cd8b49b1936dcefc1a67b237,e5bdca9c9883461a827e24c86c759035,合肥天源迪科科技园,p200893088,null,RECHARGE,2021-11-19 16:57:23,null,120.0,null,null,2021-11-21 00:00:00,2021-12-31 23:59:59,null,null,null,2021-12-07 16:53:04
397f1f538cb8499cbf5dc2631951fc9e,61858da73ecd4e8bbb2f192ec23f85a2,合肥天源迪科科技园,p200893088,null,CLOSE,2021-12-07 14:12:38,null,0.0,null,null,2021-12-07 14:12:38,2021-12-07 14:12:38,null,null,null,2021-12-07 16:26:04
a75e85b5f9ef4a28a788da2b6b29425e,7a05d11a9b6f4f76b58487a51ec73378,合肥天源迪科科技园,p200893088,null,CLOSE,2021-12-07 14:11:22,null,0.0,null,null,2021-12-07 14:11:22,2021-12-07 14:11:22,null,null,null,2021-12-07 16:31:04
24185fb4cd8b49b1936dcefc1a67b237,e5bdca9c9883461a827e24c86c759035,合肥天源迪科科技园,p200893088,null,RECHARGE,2021-11-19 16:57:23,null,120.0,null,null,2021-11-21 00:00:00,2021-12-31 23:59:59,null,null,null,2021-12-08 08:37:08
6ab6e8b720e540e68fa664eea7158ac1,5e219d6ae910486b99a8d6821a6cfb9b,合肥天源迪科科技园,p200893088,null,RECHARGE,2021-12-08 09:33:40,null,900.0,null,null,2022-01-01 00:00:00,2022-06-30 23:59:59,null,null,null,2021-12-08 09:42:09
24185fb4cd8b49b1936dcefc1a67b237,e5bdca9c9883461a827e24c86c759035,合肥天源迪科科技园,p200893088,1,RECHARGE,2021-11-19 16:57:23,cs,120.0,111.11,12.11,2021-11-21 00:00:00,2021-12-31 23:59:59,3,4,120.0,2021-12-08 09:53:09
6c9ddfc891bc452cba7e4cf466a53a47,cf9607458473488381c9e5106f3ce99c,合肥天源迪科科技园,p200893088,null,RECHARGE,2021-12-08 09:44:37,null,1200.0,null,null,2022-01-01 00:00:00,2022-06-30 23:59:59,null,null,null,2021-12-08 09:41:09
344aef05791e4ce98a1a957c46e615ab,1eb6b8fb6da948fba68a16e34fc47d27,合肥天源迪科科技园,p200893088,null,RECHARGE,2021-12-08 10:15:41,null,1200.0,null,null,2022-01-01 00:00:00,2022-06-30 23:59:59,null,null,null,2021-12-08 10:42:10
