itemId,personId,parkCode,carNumber,carPhoto
00fb1ac9e1cc4310841d36c49ad5f47e,f173841eac1b46e3846a38dede7c1727,p200893088,皖-A1YM12,p200893088/NISSP_IMG_PARK_CAR/00fb1ac9e1cc4310841d36c49ad5f47e,2021-11-19 15:59:03
006f9ddd904840ef832c1bbc6a8fc285,ac109e1a2bdd43d183ac73e641f1158f,p200893088,皖-HA088T,p200893088/NISSP_IMG_PARK_CAR/006f9ddd904840ef832c1bbc6a8fc285,2021-11-19 15:59:03
0115f18f270040829155b26e48b7b097,445d9febebc149f39288b25a62ac9913,p200893088,皖-A6A452,p200893088/NISSP_IMG_PARK_CAR/0115f18f270040829155b26e48b7b097,2021-11-19 15:59:03
018ecd284f244f18a22f9dc088ddd3a8,2d3f83f3d16c423ea3fe3cb4b2b5de53,p200893088,皖-A3QB90,p200893088/NISSP_IMG_PARK_CAR/018ecd284f244f18a22f9dc088ddd3a8,2021-11-19 15:59:03
0839b1338e494c46b5c9682d8cd81cbc,7155e9f00c164cbf9240e3f78cb050a8,p200893088,皖-ARZ055,p200893088/NISSP_IMG_PARK_CAR/0839b1338e494c46b5c9682d8cd81cbc,2021-11-19 15:59:03
063015eedd1f44dbb425603d6a769417,a558309ce3b143ce96c0a5effc6762e1,p200893088,皖-AR287X,p200893088/NISSP_IMG_PARK_CAR/063015eedd1f44dbb425603d6a769417,2021-11-19 15:59:03
043b2aad49034eaba245eac265ae8d15,0e8fa2eaba564ca787736a20d469881a,p200893088,皖-AR609V,p200893088/NISSP_IMG_PARK_CAR/043b2aad49034eaba245eac265ae8d15,2021-11-19 15:59:03
0236cefa90a94091acbe259d7e620f95,03e89ed29c384afc8888378df1c69fc7,p200893088,皖-AD230C,p200893088/NISSP_IMG_PARK_CAR/0236cefa90a94091acbe259d7e620f95,2021-11-19 15:59:03
0e410c36dc72425280098dbd4a9dfb02,eab8bab90be2463b8f33aef955b766e2,p200893088,皖-AM5H10,p200893088/NISSP_IMG_PARK_CAR/0e410c36dc72425280098dbd4a9dfb02,2021-11-19 15:59:03
07039fc669674c8a92046e065c2a7e33,05bb97cc58de4f61b923220c63bfd819,p200893088,皖-AMN876,p200893088/NISSP_IMG_PARK_CAR/07039fc669674c8a92046e065c2a7e33,2021-11-19 15:00:03
07bed8e579b34622a0fa648ba569f0c8,2f6e684d8a7043daab4b23fe4b7d3a98,p200893088,皖-AAX881,p200893088/NISSP_IMG_PARK_CAR/07bed8e579b34622a0fa648ba569f0c8,2021-11-19 15:00:03
0b425d2c12104d3aae32b6fa6d38d867,0702a62741b242a3b08c4ce42966d1f8,p200893088,皖-ANW852,p200893088/NISSP_IMG_PARK_CAR/0b425d2c12104d3aae32b6fa6d38d867,2021-11-19 15:00:03
0b9db119a5dd4fbe814143e8224ac080,9158cc254bb849c78348f026d7e43b9d,p200893088,皖-AF09020,p200893088/NISSP_IMG_PARK_CAR/0b9db119a5dd4fbe814143e8224ac080,2021-11-19 15:00:03
046cbd818f3546bc83bdfb765538e3e8,a4896edbbf914f3494a5c0633cab2269,p200893088,皖-AE631R,p200893088/NISSP_IMG_PARK_CAR/046cbd818f3546bc83bdfb765538e3e8,2021-11-19 15:00:03
06bb494e2b16477387a35aba7a34a73e,150ac2dd8d2146fb943b0c56919369f2,p200893088,皖-AS1R25,p200893088/NISSP_IMG_PARK_CAR/06bb494e2b16477387a35aba7a34a73e,2021-11-19 15:00:03
045531b29364480cb4314b80cd28ebd6,13be91398e0e43e18429cb5841412855,p200893088,皖-ASQ258,p200893088/NISSP_IMG_PARK_CAR/045531b29364480cb4314b80cd28ebd6,2021-11-19 15:00:03
