itemId,userType,personId,accountId,serviceType,parkName,parkCode,parkLoctionType,state,parkLoctionNo,vehiclePosCount,startTime,endTime,cardType,cardTypeName,balance,operatorId,operateTime,operateName,operateMoney,attach
00bd1d58756e463abb1cc4ea293f7ef4,9dfdf2c4ee9411ea80bd0897986a29bb,5b014581c74a4ad3bc22c71758a65633,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2021-02-22 00:00:00,2021-12-31 23:59:59,月卡,内部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
017344988c1d473f9a7a0d4368d6dfe7,9dfdf4a3ee9411ea80bd0897986a29bb,d8b8e6ec9bb04655bb2bbbe95c27644d,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2021-12-31 23:59:59,月卡,外部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
02bec64292a1438d8e6dfdac38049afb,9dfdf2c4ee9411ea80bd0897986a29bb,3772b3e6f5d944dbbe043ea291bc5128,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2021-12-31 23:59:59,月卡,内部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
08dbd484308d48389c3680d626543416,9dfdf2c4ee9411ea80bd0897986a29bb,428d59f6cf414d53ba21752d28fabc2d,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2021-12-31 23:59:59,月卡,内部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
0812e87754f74625b70276f210b6b99b,9dfdf52bee9411ea80bd0897986a29bb,cb06cc3ced384b819bfc89381c0ceb97,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2021-05-14 00:00:00,2021-12-31 23:59:59,月卡,外部固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
036dc40cf6c049fb9e817d22c856ab63,9dfdf2c4ee9411ea80bd0897986a29bb,771274d4d4634052830e0bdd1d0c2888,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2021-12-31 23:59:59,月卡,内部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
03f0203fe7fe4ff8976f7a4a61cfc58d,9dfdf2c4ee9411ea80bd0897986a29bb,93a152dbcbf34477af7cd804a6d17118,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2021-08-10 00:00:00,2022-01-31 23:59:59,月卡,内部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
062e493ab9514d22b41acfad59cb0677,9dfdf2c4ee9411ea80bd0897986a29bb,2ad1f354dee94550b1e910f6e73c8361,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2021-05-19 00:00:00,2021-12-31 23:59:59,月卡,内部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
0499de4130824e08bea3c51147377646,9dfdf2c4ee9411ea80bd0897986a29bb,8f5bdd3572cf4f88a51c9776f8ab0558,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2021-12-31 23:59:59,月卡,内部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
07995a081b1f4bc287660619674ca044,9dfdf2c4ee9411ea80bd0897986a29bb,19302de0e5e54ff6a6c23d31b9bb9391,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2021-12-31 23:59:59,月卡,内部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
09695a97cb26440ab199d37b69173055,9dfdf2c4ee9411ea80bd0897986a29bb,e9be5098f9174cedb8a28a187f6a4662,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2021-12-31 23:59:59,月卡,内部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
0ca18b40cc304e65bb3caaebe0f18dd3,9dfdf4a3ee9411ea80bd0897986a29bb,c06421e2029f495c86730a5cb9d65d6b,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2021-01-11 00:00:00,2021-12-31 23:59:59,月卡,外部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
0cd0cc2aaa4d42c0935fc4375828cdd4,9dfdf4a3ee9411ea80bd0897986a29bb,ff0effabe5f5473abbbda283a3ffe696,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2021-12-31 23:59:59,月卡,外部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
0e6c0556123b4a839cf74cec3ea4091d,9dfdf52bee9411ea80bd0897986a29bb,0198188554a2476895623e43294542a5,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2022-06-30 23:59:59,月卡,外部固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
04a630c7b4364eb58a00b749a978d3f5,9dfdf2c4ee9411ea80bd0897986a29bb,f806bbd021ee483a85ad8e2db1c4c88d,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-11-01 00:00:00,2021-12-31 23:59:59,月卡,内部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
0b4a0cebd6b540bdb6e0589ecf85769d,9dfdf2c4ee9411ea80bd0897986a29bb,3391c159472a40bab30cd86bbe3c4964,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2021-03-03 00:00:00,2021-12-31 23:59:59,月卡,内部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
0afb25e3f21847cd8e5ac8e0228883b9,9dfdf4a3ee9411ea80bd0897986a29bb,2a7d63cb40a84f9e9f58155ccdf89738,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2021-12-31 23:59:59,月卡,外部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
0cea8df3ad6f49b2b8253acd3a2fa7ef,9dfdf2c4ee9411ea80bd0897986a29bb,115737e091254752a65c888943739e6b,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2021-03-01 00:00:00,2021-12-31 23:59:59,月卡,内部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:47:03
0016c86672a140a4922e38d8957b02ab,9dfdf2c4ee9411ea80bd0897986a29bb,94f467dc759c4c7dba0ffe02ca6edbf8,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2021-04-16 00:00:00,2021-12-31 23:59:59,月卡,内部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:48:03
0438e55f4f054058a0baf1725fdd7b2a,9dfdf4a3ee9411ea80bd0897986a29bb,1a1a4dd062c24e659e08262e0d9b9cd5,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-11-09 00:00:00,2021-12-31 23:59:59,月卡,外部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:48:03
04611522fa804a45a318d0f08e398520,9dfdf4a3ee9411ea80bd0897986a29bb,ce961d2d52c143c0b0683bf603488d9c,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2021-03-01 00:00:00,2021-12-31 23:59:59,月卡,外部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:48:03
098c5db2bafb45098607748915b87512,9dfdf4a3ee9411ea80bd0897986a29bb,d08a13f23a7846f1baac67d14d0c3cae,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2021-12-31 23:59:59,月卡,外部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:48:03
0996ef7342ac4a0bb647678b3af1f7e1,9dfdf4a3ee9411ea80bd0897986a29bb,5edd9ba86ead494a90cbe6cf26645247,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2021-09-06 00:00:00,2021-10-06 23:59:59,月卡,外部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:48:03
0c5ba991773244f7b90cde89fbcdd876,9dfdf4a3ee9411ea80bd0897986a29bb,9bd3c7df02294867b9cb267e86f249c4,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-13 00:00:00,2022-06-30 23:59:59,月卡,外部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:48:03
0c88c7099d95422aa57aaa64b3716b1e,9dfdf440ee9411ea80bd0897986a29bb,3363351ef3ad47848f760ca9fac57351,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2021-12-31 23:59:59,月卡,内部固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:48:03
0c33021e9ec74f21a6d5f47618ae83c6,9dfdf4a3ee9411ea80bd0897986a29bb,5d65ea29701742068e6e67e1f9e95b00,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2021-12-31 23:59:59,月卡,外部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:48:03
0f0f885deccd438ca155edb00b6edbf4,9dfdf52bee9411ea80bd0897986a29bb,a6031ff7e1454e2fb8b787072d1783c5,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2021-07-10 00:00:00,2022-07-09 23:59:59,月卡,外部固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:48:03
11e108c73b5a45fd81a42252d66836eb,9dfdf4a3ee9411ea80bd0897986a29bb,fe92501681624095930f4659fb885ecb,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2021-12-31 23:59:59,月卡,外部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:48:03
19da43a73a8248dca0f5a0ca0da5727c,9dfdf4a3ee9411ea80bd0897986a29bb,09b173d9815f46feabb28c8d40dfabb4,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-08-18 00:00:00,2022-06-30 23:59:59,月卡,外部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:48:03
190b4c1150ff48bbb067d4f51538b5b7,9dfdf2c4ee9411ea80bd0897986a29bb,dd6bbf8819ac489fbe1e9fb88cf7ffc4,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2021-05-10 00:00:00,2021-12-31 23:59:59,月卡,内部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:48:03
1be4f530cd0a495c80ddc40110b8f80a,9dfdf4a3ee9411ea80bd0897986a29bb,c9dfa2fe0e354af9a775f5535dd36cd8,null,PARK,合肥天源迪科科技园,p200893088,null,null,null,null,2020-07-01 00:00:00,2021-12-31 23:59:59,月卡,外部非固定车位,0.0,null,2021-11-19 15:39:59,null,null,null,2021-11-19 15:48:03
