itemId,serviceId,parkName,parkCode,operatorId,operateType,operateTime,operateName,operateMoney,refundssMoney,refundysMoney,delayStartTime,delayEndTime,oldState,newState,attach
24185fb4cd8b49b1936dcefc1a67b237,e5bdca9c9883461a827e24c86c759035,合肥天源迪科科技园,p200893088,null,RECHARGE,2021-11-19 16:57:23,null,120.0,null,null,2021-11-21 00:00:00,2021-12-31 23:59:59,null,null,null,2021-11-19 16:27:04
53ab3790cc6d4ad8bb00649855e488bd,a94707beec9246f0b7591007fae40207,合肥天源迪科科技园,p200893088,null,REFUND,2021-11-19 16:58:02,null,0.0,null,null,2021-11-04 00:00:00,2021-11-30 23:59:59,null,null,null,2021-11-19 16:08:04
24185fb4cd8b49b1936dcefc1a67b237,e5bdca9c9883461a827e24c86c759035,合肥天源迪科科技园,p200893088,null,RECHARGE,2021-11-19 16:57:23,null,120.0,null,null,2021-11-21 00:00:00,2021-12-31 23:59:59,null,null,null,2021-11-20 00:00:12
53ab3790cc6d4ad8bb00649855e488bd,a94707beec9246f0b7591007fae40207,合肥天源迪科科技园,p200893088,null,REFUND,2021-11-19 16:58:02,null,0.0,null,null,2021-11-04 00:00:00,2021-11-30 23:59:59,null,null,null,2021-11-20 00:00:12
96d9cc2c15b749c6b732e33b1568991c,e0775fe467e74a3f9167845ee6eef676,合肥天源迪科科技园,p200893088,null,OPEN,2021-11-22 10:33:31,null,0.0,null,null,2021-11-22 00:00:00,2026-12-31 23:59:59,null,null,null,2021-11-22 10:37:10
f6a0048d98ae4ce4800c9bf8342fe54d,e0775fe467e74a3f9167845ee6eef676,合肥天源迪科科技园,p200893088,null,RECHARGE,2021-11-22 10:34:30,null,0.0,null,null,2027-01-01 00:00:00,2031-01-16 23:59:59,null,null,null,2021-11-22 10:32:10
a168f2ad30174b728e2c6036b618bf6c,e0775fe467e74a3f9167845ee6eef676,合肥天源迪科科技园,p200893088,null,UPDATE,2021-11-22 10:35:14,null,0.0,null,null,2021-11-22 00:00:00,2031-01-16 23:59:59,null,null,null,2021-11-22 10:20:10
e3a6824c2def4a4cb59a88754c4c4dd5,b7fb8ad0f5514762bfe90293ce7e1aa8,合肥天源迪科科技园,p200893088,null,RECHARGE,2021-11-22 10:45:34,null,1800.0,null,null,2022-01-01 00:00:00,2022-12-31 23:59:59,null,null,null,2021-11-22 10:37:10
f8fe25155e044d87bdda2b4fc18a25f5,52a5a2021d2643af99db25e4e54838f8,合肥天源迪科科技园,p200893088,null,REFUND,2021-11-22 11:35:05,null,0.0,null,null,2021-08-13 00:00:00,2021-11-30 23:59:59,null,null,null,2021-11-22 11:12:11
497c2d2793924a5aa57635a5cdcfa39e,061b925d2d13478ea7eabab2d1a7c55f,合肥天源迪科科技园,p200893088,null,OPEN,2021-11-22 11:36:47,null,200.0,null,null,2021-11-22 00:00:00,2021-12-31 23:59:59,null,null,null,2021-11-22 11:52:11
5f42b834aae94b149f88f5e08857a9fe,6a0a35b7bec04ba3bed4f35a9240b644,合肥天源迪科科技园,p200893088,null,UPDATE,2021-11-22 15:53:41,null,0.0,null,null,2021-03-09 00:00:00,2021-12-31 23:59:59,null,null,null,2021-11-22 15:47:03
fb58c5911e7d4fb095fac7f8405c4be8,e3a0fd33e912414495d4e4489b400111,合肥天源迪科科技园,p200893088,null,UPDATE,2021-11-22 16:42:36,null,0.0,null,null,2021-08-06 00:00:00,2022-03-05 23:59:59,null,null,null,2021-11-22 16:43:04
